carat,cut,color,clarity,depth,table,price,x,y,z,volume
1.84,Premium,H,SI2,61,58,7922,7.97,7.87,4.81,301.701959
1.91,Premium,G,SI2,61.9,58,9038,7.9,7.84,4.87,301.62832
1.84,Ideal,J,VS1,62.4,56,8828,7.84,7.8,4.89,299.03328
1.8,Premium,I,SI2,61.8,59,8457,7.9,7.8,4.85,298.857
1.85,Very Good,H,I1,63.3,56,5688,7.8,7.75,4.92,297.414
1.83,Premium,G,I1,62,58,6313,7.84,7.8,4.85,296.5872
1.8,Ideal,D,SI2,62.9,54,7862,7.77,7.74,4.88,293.482224
1.77,Premium,J,SI2,62,55,8840,7.84,7.72,4.82,291.729536
1.78,Premium,J,SI2,62.6,58,8889,7.78,7.72,4.85,291.29876
1.76,Very Good,J,SI2,60.9,60,9053,7.79,7.83,4.76,290.339532
1.79,Premium,J,SI1,60.9,60,9205,7.79,7.83,4.76,290.339532
1.75,Premium,I,SI1,60.8,58,7644,7.83,7.79,4.75,289.729575
1.77,Ideal,J,SI2,62,56,7771,7.78,7.74,4.81,289.644732
1.74,Premium,F,I1,59.9,58,6821,7.88,7.82,4.7,289.62152
1.78,Good,G,SI2,63.8,57,9071,7.73,7.62,4.9,288.62274
1.72,Premium,J,SI1,61.7,58,8324,7.71,7.81,4.79,288.430329
1.75,Ideal,H,I1,61.5,54.9,7276,7.75,7.78,4.78,288.2101
1.75,Ideal,H,I1,61.5,55,7409,7.78,7.75,4.78,288.2101
1.74,Premium,J,SI2,59.7,57,8690,7.88,7.8,4.68,287.65152
1.72,Premium,J,SI1,62,56,6857,7.76,7.7,4.79,286.21208
1.7,Ideal,J,SI2,60.5,57,8505,7.74,7.84,4.71,285.810336
1.52,Ideal,H,I1,61.6,56,6793,7.75,7.73,4.77,285.758775
1.75,Ideal,H,I1,61.6,56,7680,7.73,7.75,4.77,285.758775
1.74,Ideal,J,SI1,62.1,54,9208,7.73,7.69,4.79,284.735323
1.73,Premium,J,SI1,60.7,58,9105,7.73,7.78,4.71,283.256574
1.73,Premium,J,SI1,60.7,58,9271,7.78,7.73,4.71,283.256574
1.73,Premium,I,VS2,59.8,58,8680,7.8,7.79,4.66,283.15092
1.73,Ideal,J,SI1,62.6,57,6927,7.69,7.65,4.8,282.3768
1.72,Ideal,E,I1,62.2,55,7802,7.7,7.67,4.78,282.30202
1.72,Very Good,F,I1,60.5,59,6962,7.71,7.8,4.69,282.04722
1.72,Premium,F,I1,60.5,59,7089,7.8,7.71,4.69,282.04722
1.74,Ideal,I,SI2,61.6,57,8896,7.67,7.74,4.75,281.98755
1.7,Ideal,D,SI2,60.7,56,8911,7.78,7.71,4.7,281.92386
1.77,Good,J,SI2,63.4,60,8109,7.61,7.65,4.84,281.76786
1.77,Very Good,J,SI2,63.4,60,8257,7.65,7.61,4.84,281.76786
1.73,Premium,H,SI2,60.5,60,6968,7.79,7.71,4.69,281.685621
1.7,Premium,I,SI2,59.4,59,7250,7.83,7.75,4.63,280.959975
1.73,Premium,J,SI1,61,59,9165,7.75,7.68,4.71,280.3392
1.72,Premium,F,I1,60.1,58,7532,7.77,7.74,4.66,280.251468
