Column1,carat,cut,color,clarity,depth,table,price,x,y,z,volume,,,,
27750,2.29,Premium,I,VS2,60.8,60,18823,8.5,8.47,5.16,371.4942,,,,
27749,2,Very Good,G,SI1,63.5,56,18818,7.9,7.97,5.04,317.33352,,,,
27748,1.51,Ideal,G,IF,61.7,55,18806,7.37,7.41,4.56,249.029352,,,,
27747,2.07,Ideal,G,SI2,62.5,55,18804,8.2,8.13,5.11,340.66326,,,,
27746,2,Very Good,H,SI1,62.8,57,18803,7.95,8,5.01,318.636,,,,
27745,2.29,Premium,I,SI1,61.8,59,18797,8.52,8.45,5.24,377.24856,,,, 
27743,2.04,Premium,H,SI1,58.1,60,18795,8.37,8.28,4.84,335.429424,,,,
27744,2,Premium,I,VS1,60.8,59,18795,8.13,8.02,4.91,320.144766,,,,
27742,2.15,Ideal,G,SI2,62.6,54,18791,8.29,8.35,5.21,360.644015,,,,
27741,1.71,Premium,F,VS2,62.3,59,18791,7.57,7.53,4.7,267.90987,,,,
27739,2.05,Ideal,G,SI1,61.9,57,18787,8.1,8.16,5.03,332.46288,,,,
27738,2.05,Premium,F,SI2,60.2,59,18784,8.28,8.33,5,344.862,,,,
27737,2.03,Very Good,H,SI1,63,60,18781,8,7.93,5.02,318.4688,,,,
27736,1.6,Ideal,F,VS1,62,56,18780,7.47,7.52,4.65,261.21096,,,,
27735,2.06,Ideal,I,VS2,62.2,55,18779,8.15,8.19,5.08,339.08238,,,,
27734,1.51,Very Good,F,VVS1,62.6,59,18777,7.33,7.24,4.56,241.995552,,,,
27733,1.71,Ideal,G,VVS2,62.1,55,18768,7.66,7.63,4.75,277.61755,,,,
27732,2.55,Premium,I,VS1,61.8,62,18766,8.7,8.65,5.36,403.3668,,,,
27731,2.08,Ideal,H,SI1,58.7,60,18760,8.36,8.4,4.92,345.50208,,,,
27730,2,Very Good,F,SI1,57.9,60,18759,8.28,8.34,4.81,332.155512,,,,
27729,2.03,Ideal,G,SI1,60,55.8,18757,8.17,8.3,4.95,335.66445,,,,
27728,2.61,Ideal,I,SI2,62.1,56,18756,8.85,8.73,5.46,421.84233,,,,
27727,2.36,Premium,H,SI2,59.4,58,18745,8.69,8.75,5.18,393.87425,,,,
27726,2.01,Premium,G,SI1,60.3,59,18741,8.23,8.15,4.94,331.34803,,,,
27725,2.01,Very Good,G,SI1,63.1,59,18741,8.03,7.98,5.05,323.60097,,,,
27724,2.01,Ideal,G,SI1,62.2,56,18741,8.02,7.97,4.97,317.679418,,,,
27723,2.01,Ideal,G,SI1,62.1,57,18736,8.07,8.09,5.02,327.737226,,,,
27722,1.94,Premium,F,SI1,62.6,58,18735,7.91,7.87,4.94,307.523398,,,,
27721,2.02,Very Good,E,SI1,59.8,59,18731,8.11,8.2,4.88,324.52976,,,,
27690,1.72,Premium,G,VVS2,61.8,60,18730,7.65,7.68,4.74,278.48448,,,,
27689,1.51,Ideal,E,VS1,61.5,57,18729,7.34,7.4,4.53,246.05148,,,,
27688,1.7,Premium,G,VVS2,59.8,59,18718,7.7,7.75,4.62,275.6985,,,,
27687,2.18,Premium,F,SI1,61.2,60,18717,8.38,8.3,5.1,354.7254,,,,
27686,3.01,Premium,J,SI2,59.7,58,18710,9.41,9.32,5.59,490.249708,,,,
27685,3.01,Premium,J,SI2,60.7,59,18710,9.35,9.22,5.64,486.20748,,,,
27684,2,Very Good,E,SI1,60.5,59,18709,8.09,8.14,4.94,325.311844,,,,
27683,2.07,Good,I,VS2,61.8,61,18707,8.12,8.16,5.03,333.283776,,,,
27682,2.22,Premium,J,VS1,60,60,18706,8.49,8.43,5.08,363.579156,,,,
27681,2.01,Premium,G,SI2,61.2,57.2,18705,8.08,8.14,4.97,326.882864,,,,
27680,3.51,Premium,J,VS2,62.5,59,18701,9.66,9.63,6.03,560.945574,,,,
27679,2.02,Ideal,G,VS2,62,57,18700,8.1,8.05,5.01,326.67705,,,,
27678,1.28,Ideal,E,IF,60.7,57,18700,7.09,6.99,4.27,211.617357,,,,
27677,2.19,Ideal,D,SI2,61.8,57,18693,8.23,8.49,5.17,361.241859,,,,
27676,2.48,Very Good,F,SI2,63.4,56,18692,8.64,8.55,5.45,402.6024,,,,
27675,2.43,Premium,J,VS2,62.2,57,18692,8.63,8.54,5.34,393.559068,,,,
27674,1.5,Very Good,G,VS2,60.7,59,18691,7.31,7.38,4.46,240.607188,,,,
27673,2.67,Good,F,SI2,63.8,58,18686,8.69,8.64,5.54,415.952064,,,,
27672,1.42,Ideal,F,VVS1,60.8,56,18682,7.25,7.32,4.43,235.1001,,,,
27671,2.03,Premium,G,VS2,59.6,60,18680,8.27,8.21,4.91,333.372797,,,,
27670,2.16,Very Good,F,SI2,62.4,59,18678,8.28,8.33,5.18,357.277032,,,,
27669,2.02,Premium,F,SI2,62.1,56,18678,8.07,7.99,4.99,321.751707,,,,
27668,2.01,Ideal,D,SI2,62.1,56,18674,8.02,8.11,5.01,325.861422,,,,
27667,2.04,Ideal,G,SI1,59,57,18663,8.32,8.37,4.92,342.620928,,,,
27666,2.05,Ideal,H,VS2,61.6,57,18659,8.2,8.14,5.03,335.74244,,,,
27665,2.12,Premium,H,SI1,61.1,60,18656,8.18,8.26,5.02,339.185336,,,,
27664,2.29,Premium,I,VS2,60.8,60,18653,8.47,8.5,5.16,371.4942,,,,
